Year,Month,Residential,Commercial,Industrial,Transportation,All Sectors
2017,January,12.21,10.21,6.59,9.39,10.13
2017,February,12.79,10.48,6.63,9.50,10.28
2017,March,12.89,10.46,6.71,9.49,10.28
2017,April,12.72,10.40,6.60,9.46,10.07
2017,May,13.07,10.59,6.78,9.61,10.34
2017,June,13.20,11.01,7.19,10.18,10.83
2017,July,13.08,10.97,7.31,10.12,10.95
2017,August,13.15,11.01,7.22,10.06,10.91
2017,September,13.28,11.03,7.17,9.99,10.86
2017,October,12.80,10.78,6.91,9.57,10.40
2017,November,12.94,10.49,6.73,9.50,10.28
2017,December,12.45,10.28,6.54,9.35,10.17
2018,January,12.22,10.49,6.94,9.39,10.41
2018,February,12.63,10.65,6.78,9.78,10.42
2018,March,12.97,10.51,6.63,9.40,10.34
2018,April,12.88,10.46,6.57,9.47,10.18
2018,May,13.12,10.51,6.79,9.39,10.35
2018,June,13.03,10.84,7.17,10.23,10.75
2018,July,13.13,11.00,7.32,10.05,10.99
2018,August,13.26,11.03,7.25,9.50,11.01
2018,September,13.01,10.72,7.05,10.05,10.66
2018,October,12.85,10.77,6.87,9.79,10.41
2018,November,12.90,10.54,6.85,9.70,10.35
2018,December,12.43,10.33,6.67,9.71,10.21
2019,January,12.47,10.30,6.58,9.83,10.24
2019,February,12.72,10.54,6.69,10.02,10.40
2019,March,12.84,10.46,6.73,9.25,10.34
2019,April,13.25,10.52,6.51,9.45,10.24
2019,May,13.31,10.54,6.69,9.46,10.38
2019,June,13.32,10.90,6.87,10.01,10.74
2019,July,13.26,11.02,7.14,9.82,11.00
2019,August,13.30,11.02,7.40,9.65,11.05
2019,September,13.16,10.96,7.06,9.78,10.82
2019,October,12.81,10.74,6.84,9.72,10.39
2019,November,13.03,10.57,6.72,9.52,10.38
2019,December,12.68,10.32,6.38,9.46,10.22
