Year,State,Producer Type,Energy Source,Generators,Facilities,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
1990,AK,Combined Heat and Power Commercial Power,Coal,0,3,65.5,61.1
1990,AK,Combined Heat and Power Commercial Power,Petroleum,0,1,20.4,19
1990,AK,Combined Heat and Power Industrial Power,Natural Gas,0,28,159.3,136.7
1990,AK,Combined Heat and Power Industrial Power,Petroleum,0,8,68.3,65.9
1990,AK,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,2,1.8,1.7
1990,AK,Electric Generators Electric Utilities,Coal,0,2,53.5,55.5
1990,AK,Electric Generators Electric Utilities,Hydroelectric,0,20,240.7,235.7
1990,AK,Electric Generators Electric Utilities,Natural Gas,0,7,924.4,756.2
1990,AK,Electric Generators Electric Utilities,Petroleum,0,95,536.1,494.4
1990,AK,Electric Generators Electric Utilities,Wind,0,1,0,0
1990,AK,Total Electric Power Industry,Coal,0,0,119,116.6
1990,AK,Total Electric Power Industry,Hydroelectric,0,20,240.7,235.7
1990,AK,Total Electric Power Industry,Natural Gas,0,21,1083.80,892.9
1990,AK,Total Electric Power Industry,Petroleum,0,0,624.7,579.3
1990,AK,Total Electric Power Industry,Wind,0,1,0,0
1990,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0,1,1.8,1.7
1990,AL,Combined Heat and Power Electric Power,Natural Gas,0,1,15.6,15
1990,AL,Combined Heat and Power Electric Power,Wood and Wood Derived Fuels,0,1,86.3,80.5
1990,AL,Combined Heat and Power Industrial Power,Coal,0,1,25,23.2
1990,AL,Combined Heat and Power Industrial Power,Natural Gas,0,8,44.4,38.5
1990,AL,Combined Heat and Power Industrial Power,Other Gases,0,6,92.5,90.2
1990,AL,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,12,281.1,269.2
1990,AL,Electric Generators Electric Utilities,Coal,0,10,12619.50,11776.70
1990,AL,Electric Generators Electric Utilities,Hydroelectric,0,21,2857.00,2934.30
1990,AL,Electric Generators Electric Utilities,Natural Gas,0,2,476,400
1990,AL,Electric Generators Electric Utilities,Nuclear,0,2,5232.50,4847.00
1990,AL,Electric Generators Electric Utilities,Petroleum,0,1,67.3,64.8
1990,AL,Electric Generators Independent Power Producers,Other Biomass,0,0,5,4.7
1990,AL,Total Electric Power Industry,Coal,0,0,12644.50,11799.80
1990,AL,Total Electric Power Industry,Hydroelectric,0,21,2857.00,2934.30
1990,AL,Total Electric Power Industry,Natural Gas,0,7,536,453.5
1990,AL,Total Electric Power Industry,Nuclear,0,2,5232.50,4847.00
1990,AL,Total Electric Power Industry,Other Biomass,0,0,5,4.7
1990,AL,Total Electric Power Industry,Other Gases,0,3,92.5,90.2
1990,AL,Total Electric Power Industry,Petroleum,0,0,67.3,64.8
1990,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,0,7,367.4,349.7
1990,AR,Combined Heat and Power Commercial Power,Natural Gas,0,4,12.5,12.2
1990,AR,Combined Heat and Power Commercial Power,Other Biomass,0,0,1.7,1.7
1990,AR,Combined Heat and Power Industrial Power,Natural Gas,0,4,85,76.6
1990,AR,Combined Heat and Power Industrial Power,Petroleum,0,1,1.3,1.2
1990,AR,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,8,247,234
1990,AR,Electric Generators Electric Utilities,Coal,0,3,3958.00,3817.00
1990,AR,Electric Generators Electric Utilities,Hydroelectric,0,13,1132.90,1261.70
1990,AR,Electric Generators Electric Utilities,Natural Gas,0,14,2662.80,2619.90
1990,AR,Electric Generators Electric Utilities,Nuclear,0,1,1845.00,1694.00
1990,AR,Electric Generators Electric Utilities,Petroleum,0,6,230.9,220.6
1990,AR,Electric Generators Electric Utilities,Pumped Storage,0,0,28,28
1990,AR,Total Electric Power Industry,Coal,0,0,3958.00,3817.00
1990,AR,Total Electric Power Industry,Hydroelectric,0,13,1132.90,1261.70
1990,AR,Total Electric Power Industry,Natural Gas,0,18,2760.20,2708.60
1990,AR,Total Electric Power Industry,Nuclear,0,1,1845.00,1694.00
1990,AR,Total Electric Power Industry,Other Biomass,0,0,1.7,1.7
1990,AR,Total Electric Power Industry,Petroleum,0,0,232.1,221.8
1990,AR,Total Electric Power Industry,Pumped Storage,0,0,28,28
1990,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,0,4,247,234
1990,AZ,Combined Heat and Power Commercial Power,Natural Gas,0,4,3.9,3.6
1990,AZ,Combined Heat and Power Commercial Power,Petroleum,0,1,3,2.9
1990,AZ,Combined Heat and Power Industrial Power,Coal,0,1,55,51
1990,AZ,Combined Heat and Power Industrial Power,Natural Gas,0,2,44.5,42.6
1990,AZ,Combined Heat and Power Industrial Power,Petroleum,0,2,5.3,5.1
1990,AZ,Electric Generators Electric Utilities,Coal,0,6,5693.50,5116.00
1990,AZ,Electric Generators Electric Utilities,Hydroelectric,0,12,2536.90,2595.00
1990,AZ,Electric Generators Electric Utilities,Natural Gas,0,14,3803.00,3305.70
1990,AZ,Electric Generators Electric Utilities,Nuclear,0,1,4209.60,3663.00
1990,AZ,Electric Generators Electric Utilities,Petroleum,0,2,102.5,78
1990,AZ,Electric Generators Electric Utilities,Pumped Storage,0,0,148.5,148
1990,AZ,Total Electric Power Industry,Coal,0,0,5748.50,5167.00
1990,AZ,Total Electric Power Industry,Hydroelectric,0,12,2536.90,2595.00
1990,AZ,Total Electric Power Industry,Natural Gas,0,17,3851.40,3351.90
1990,AZ,Total Electric Power Industry,Nuclear,0,1,4209.60,3663.00
1990,AZ,Total Electric Power Industry,Petroleum,0,0,110.7,86
1990,AZ,Total Electric Power Industry,Pumped Storage,0,0,148.5,148
1990,CA,Combined Heat and Power Commercial Power,Hydroelectric,0,2,5,4.8
1990,CA,Combined Heat and Power Commercial Power,Natural Gas,0,88,262.7,230.2
1990,CA,Combined Heat and Power Commercial Power,Other Biomass,0,0,26.4,23.5
1990,CA,Combined Heat and Power Commercial Power,Petroleum,0,2,4.9,4.8
1990,CA,Combined Heat and Power Electric Power,Coal,0,5,289.7,271.4
1990,CA,Combined Heat and Power Electric Power,Natural Gas,0,49,2661.40,2280.90
1990,CA,Combined Heat and Power Electric Power,Other Biomass,0,0,14.4,13.4
1990,CA,Combined Heat and Power Electric Power,Wood and Wood Derived Fuels,0,2,24,22.5
1990,CA,Combined Heat and Power Industrial Power,Coal,0,3,140.8,131.4
1990,CA,Combined Heat and Power Industrial Power,Natural Gas,0,146,1963.60,1700.40
1990,CA,Combined Heat and Power Industrial Power,Other Biomass,0,0,5.1,4.8
1990,CA,Combined Heat and Power Industrial Power,Other Gases,0,6,124,106.2
1990,CA,Combined Heat and Power Industrial Power,Petroleum,0,2,76.2,67.5
1990,CA,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,38,257.4,241.6
1990,CA,Electric Generators Electric Utilities,Geothermal,0,0,1771.00,1592.10
1990,CA,Electric Generators Electric Utilities,Hydroelectric,0,229,8750.90,9198.90
1990,CA,Electric Generators Electric Utilities,Natural Gas,0,47,22645.30,21815.40
1990,CA,Electric Generators Electric Utilities,Nuclear,0,2,5010.60,4746.00
1990,CA,Electric Generators Electric Utilities,Petroleum,0,13,3014.70,2800.00
1990,CA,Electric Generators Electric Utilities,Pumped Storage,0,0,3352.80,3526.00
1990,CA,Electric Generators Electric Utilities,Solar Thermal and Photovoltaic,0,0,3,3
1990,CA,Electric Generators Independent Power Producers,Coal,0,2,31.8,28.7
1990,CA,Electric Generators Independent Power Producers,Geothermal,0,26,961.6,902.3
1990,CA,Electric Generators Independent Power Producers,Hydroelectric,0,51,578.7,563.5
1990,CA,Electric Generators Independent Power Producers,Natural Gas,0,8,52,48.5
1990,CA,Electric Generators Independent Power Producers,Other Biomass,0,0,359.3,333.3
1990,CA,Electric Generators Independent Power Producers,Other Gases,0,1,1.2,1.2
1990,CA,Electric Generators Independent Power Producers,Petroleum,0,0,102.5,95.3
